protein_source,protein_target,score
NIP1;2,SIP1;2,0.809
NIP6;1,SIP1;2,0.762
SIP1;2,PIP2;4,0.66
HTA9,ASF1B,0.838
HTA9,NRP1,0.936
NRP1,ASF1B,0.95
NRP2,ASF1B,0.912
NRP2,HTA9,0.936
NRP2,NRP1,0.911
AAC1,APC3,0.691
ABCG5,APC3,0.637
APC3,ER-ANT1,0.646
SIP2,AGAL2,0.923
AKT1,CBL9,0.991
AKT1,SIP3,0.948
CIPK23,AKT1,0.998
CIPK23,CBL9,0.999
SIP3,CBL9,0.968
ATARCA,RPS10B,0.999
AT2G22950,ECA2,0.666
AT2G22950,TPC1,0.68
ECA2,AT5G53010,0.653
ECA2,TPC1,0.671
TPC1,AT5G53010,0.68
ABCB20,ABCE2,0.738
ABCB20,ABCF1,0.677
ABCB20,AGB1,0.551
ABCE2,ABCF1,0.933
NRPB6B,NRPB9B,0.999
AKT1,CNGC19,0.424
AKT1,KCO3,0.599
AKT1,KT2/3,0.781
AKT1,TRH1,0.622
AT4G22990,TRH1,0.644
CNGC19,TRH1,0.616
GORK,KCO3,0.631
KT2/3,KCO3,0.642
KT2/3,TRH1,0.641
TRH1,CNGC1,0.633
TRH1,GORK,0.62
TRH1,KCO3,0.637
KEA1,KEA3,0.453
KEA1,PHT4;1,0.687
KEA1,PHT4;5,0.646
KEA1,TAAC,0.638
KEA3,PHT4;5,0.493
KEA3,TAAC,0.633
PHT4;1,KEA3,0.762
PHT4;1,TAAC,0.637
SULTR1;1,TAAC,0.918
SULTR1;2,TAAC,0.682
SULTR1;3,TAAC,0.665
SULTR4;2,TAAC,0.83
TAAC,PHT4;5,0.637
TAAC,SULTR4;1,0.779
AT1G50400,TIM13,0.98
AT1G50400,TOM40,0.547
TIM13,TOM40,0.997
TIC110,TIC40,0.999
TIC110,TOC120,0.802
TIC110,TOC132,0.827
TIC110,TOC159,0.999
TIC110,TOC34,0.965
TIC110,TOC75-III,0.999
TIC110,TOM40,0.569
TOC120,TIC40,0.619
TOC120,TOC34,0.623
TOC120,TOC75-III,0.955
TOC132,TIC40,0.621
TOC132,TOC120,0.578
TOC132,TOC34,0.625
TOC132,TOC75-III,0.939
TOC159,TIC40,0.958
TOC159,TOC34,0.848
TOC33,TIC110,0.916
TOC33,TIC40,0.876
TOC33,TOC159,0.999
TOC33,TOC75-III,0.99
TOC33,TOM40,0.636
TOC33,Tic20-I,0.884
TOC34,TIC40,0.957
TOC75-III,TIC40,0.992
TOC75-III,TOC159,0.999
TOC75-III,TOC34,0.998
TOM40,TIC40,0.569
TOM40,TOC159,0.552
TOM40,TOC34,0.726
TOM40,TOC75-III,0.976
Tic20-I,TIC110,0.995
Tic20-I,TIC40,0.988
Tic20-I,TOC120,0.638
Tic20-I,TOC132,0.659
Tic20-I,TOC159,0.934
Tic20-I,TOC34,0.964
Tic20-I,TOC75-III,0.984
Tic20-I,TOM40,0.48
PIP5K3,AGD1,0.879
emb2191,TRM8,0.725
ACA11,TPC1,0.694
CAX1,ACA11,0.808
CAX1,CAX3,0.805
CAX1,NHX1,0.769
CAX1,TPC1,0.853
CAX3,ACA11,0.808
CAX3,NHX1,0.493
CAX3,TPC1,0.817
ECA1,ACA11,0.665
ECA1,CAX1,0.777
ECA1,CAX3,0.627
ECA1,NHX1,0.402
ECA1,T22C5.23,0.685
ECA1,TPC1,0.671
T22C5.23,CAX1,0.874
T22C5.23,CAX3,0.808
T22C5.23,TPC1,0.893
TPC1,NHX1,0.516
PGPS2,VTE5,0.817
HAT3.1,HD1,0.984
APC6,APC7,0.999
APC6,APC8,0.999
APC7,APC8,0.999
ACC2,HCS1,0.986
P5CS1,P5CS2,0.998
P5CS1,PROT2,0.602
P5CS2,PROT2,0.641
PROT2,BON2,0.561
ABCD1,PEX19-2,0.998
ABCD1,PEX5,0.995
PEX11A,ABCD1,0.991
PEX11A,PEX19-1,0.961
PEX11A,PEX19-2,0.961
PEX11A,PEX3-1,0.983
PEX11A,PEX5,0.929
PEX19-1,ABCD1,0.999
PEX19-1,PEX19-2,0.804
PEX19-1,PEX3-1,0.986
PEX19-1,PEX5,0.741
PEX19-2,PEX5,0.741
PEX3-1,ABCD1,0.999
PEX3-1,PEX19-2,0.986
PEX3-1,PEX5,0.978
MORF9,MORF1,0.799
AR401,AT5G10630,0.866
AR401,RLP32,0.9
COP1,CRY1,0.999
COP1,PHOT1,0.695
COP1,PHOT2,0.904
COP1,PIF4,0.876
COP1,SPA1,0.999
COP1,ZTL,0.831
CRY1,PHOT2,0.976
CRY1,ZTL,0.984
PHOT1,CRY1,0.98
PIF4,CRY1,0.953
PIF4,PHOT1,0.626
PIF4,PHOT2,0.445
PIF4,SPA1,0.637
PIF4,ZTL,0.615
SPA1,CRY1,0.999
SPA1,PHOT1,0.595
SPA1,PHOT2,0.457
SPA1,ZTL,0.62
AT1G18320,OEP16-3,0.905
AT1G18320,TIM10,0.987
AT1G18320,TIM13,0.884
AT1G18320,TIM8,0.819
AT1G18320,TIM9,0.986
AT1G18320,TOM40,0.951
OEP16-3,TIM8,0.804
OEP16-3,TIM9,0.985
OEP16-3,TOM40,0.967
TIM10,OEP16-3,0.987
TIM10,TIM8,0.999
TIM10,TIM9,0.999
TIM10,TOM40,0.99
TIM13,OEP16-3,0.831
TIM13,TIM10,0.999
TIM13,TIM8,0.999
TIM13,TIM9,0.999
TIM13,TOM40,0.997
TIM9,TIM8,0.999
TOM40,TIM8,0.992
TOM40,TIM9,0.978
PRK4,ABCB16,0.855
emb2386,ATARCA,0.999
COP9,COP13,0.999
COP9,CSN6B,0.999
CSN6B,COP13,0.993
AGO1,HASTY,0.908
AGO1,SE,0.911
SE,HASTY,0.973
AT4G34220,ERL1,0.839
AT4G34220,ERL2,0.846
ERL2,ERL1,0.95
TE1,ERL1,0.99
TE1,ERL2,0.951
YDA,ERL1,0.904
YDA,ERL2,0.903
YDA,TE1,0.853
CS26,APS4,0.92
FLN2,CS26,0.963
PRIN2,CS26,0.94
PRIN2,FLN2,0.997
ATNTT2,DIT2.1,0.588
ATNTT2,DiT1,0.589
ATNTT2,SAMC1,0.636
CJD1,DIT2.1,0.539
CJD1,DiT1,0.53
CJD1,SAMC1,0.614
DiT1,DIT2.1,0.705
FKF1,SAMC1,0.591
SAMC1,DIT2.1,0.602
SAMC1,DiT1,0.615
ADSS,EDA9,0.919
NRPA2,CPSF73-I,0.413
NRPA2,RID2,0.865
PER1,AT5G26710,0.517
PER1,GPX6,0.706
TPL,NINJA,0.999
VIP5,ELF8,0.999
AAT,ADT2,0.98
HTB1,AT1G67180,0.462
CPN10,HSP60,0.992
CPN10,mtHsc70-1,0.718
HSP60,mtHsc70-1,0.988
ALB3,CPFTSY,0.998
FUG1,EMB1865,0.605
SEC6,SEC10,0.999
APC6,APC7,0.999
APC6,APC8,0.999
APC6,CDC27a,0.997
APC7,APC8,0.999
APC7,CDC27a,0.999
CDC27a,APC8,0.997
ATE2F2,DPA,0.999
SAD2,AT5G53480,0.96
SAD2,TOZ,0.963
TIF3H1,EIF2,0.999
MCM4,MCM10,0.999
MCM5,MCM10,0.999
MCM5,MCM4,0.999
TIM10,TIM8,0.999
TIM10,TOM22-V,0.981
TIM10,TOM40,0.99
TIM13,TIM10,0.999
TIM13,TIM8,0.999
TIM13,TOM22-V,0.993
TIM13,TOM40,0.997
TIM13,VDAC1,0.574
TIM13,VDAC2,0.564
TIM8,VDAC2,0.644
TOM22-I,TIM10,0.974
TOM22-I,TIM13,0.991
TOM22-I,TIM8,0.996
TOM22-I,TOM22-V,0.733
TOM22-I,TOM40,0.999
TOM22-I,VDAC1,0.846
TOM22-I,VDAC2,0.737
TOM22-V,TIM8,0.997
TOM22-V,VDAC2,0.737
TOM40,TIM8,0.992
TOM40,TOM22-V,0.999
TOM40,VDAC2,0.989
VDAC1,TIM8,0.625
VDAC1,TOM22-V,0.759
VDAC1,TOM40,0.992
VDAC1,VDAC2,0.649
AT3G27240,AT5G13430,0.999
AT3G27240,AT5G13440,0.999
AT3G27240,AT5G40810,0.914
AT3G27240,PETC,0.999
AT5G13430,AT5G13440,0.905
AT5G13430,AT5G40810,0.999
AT5G13440,AT5G40810,0.999
PETC,AT5G13430,0.921
PETC,AT5G13440,0.907
PETC,AT5G40810,0.999
AT2G36930,eIF6A,0.997
AT2G28450,EMB2820,0.596
ECA3,CAX1,0.751
ECA3,MTP11,0.921
BAK1,EFR,0.883
CERK1,BAK1,0.542
CERK1,EFR,0.54
CERK1,RLP44,0.421
LYK3,RLP23,0.452
LYM1,BAK1,0.632
LYM1,CERK1,0.971
LYM1,EFR,0.638
LYM1,ENODL14,0.652
LYM1,LYK3,0.639
LYM1,PEPR1,0.637
LYM1,RLP23,0.681
LYM1,RLP44,0.745
PEPR1,BAK1,0.852
PEPR1,CERK1,0.465
RLP23,BAK1,0.507
RLP23,CERK1,0.718
RLP23,EFR,0.418
RLP44,BAK1,0.762
ABH1,HASTY,0.874
ABH1,SE,0.999
HEN2,ABH1,0.993
HEN2,HASTY,0.405
HEN2,SE,0.955
SE,HASTY,0.973
ARF18,IAA9,0.911
IAA19,ARF18,0.913
IAA19,IAA9,0.78
ABCD1,PEX5,0.995
ACX1,ABCD1,0.929
ACX1,PEX5,0.964
PCN,AT4G39270,0.846
UBP24,UBP27,0.977
UBP25,AT4G39270,0.68
UBP25,PCN,0.662
UBP25,UBP24,0.568
UBP25,UBP27,0.559
MYC2,MYC3,0.549
MYC2,MYC4,0.546
MYC4,MYC3,0.517
ARI2,HYH,0.662
TOR,ARI2,0.625
AT5G01590,OVA2,0.417
AT5G01590,emb1211,0.992
CPN60B,AT5G01590,0.504
CPN60B,FLN2,0.675
CPN60B,MPPBETA,0.783
CPN60B,OVA2,0.864
CPN60B,emb1211,0.827
CPN60B,emb2458,0.616
FLN2,emb2458,0.435
MPPBETA,emb2458,0.785
TIC110,AT5G01590,0.917
TIC110,CPN60B,0.804
TIC110,FLN2,0.684
TIC110,OVA2,0.491
TIC110,emb1211,0.937
TIC110,emb2458,0.642
emb1211,OVA2,0.618
emb2458,AT5G01590,0.676
emb2458,OVA2,0.766
emb2458,emb1211,0.78
TIM10,TIM8,0.999
TIM10,TIM9,0.999
TIM10,TOM22-V,0.981
TIM10,TOM40,0.99
TIM13,TIM10,0.999
TIM13,TIM8,0.999
TIM13,TIM9,0.999
TIM13,TOM22-V,0.993
TIM13,TOM40,0.997
TIM9,TIM8,0.999
TIM9,TOM22-V,0.956
TOM22-V,TIM8,0.997
TOM40,TIM8,0.992
TOM40,TIM9,0.978
TOM40,TOM22-V,0.999
SDF2,ATERDJ3B,0.998
EMB2813,MCM4,0.995
EMB2813,POLD2,0.999
MCM4,POLD2,0.965
TIL1,EMB2813,0.999
TIL1,MCM4,0.998
TIL1,POLD2,0.999
NOP56,AT5G14460,0.996
IRX9,RWA1,0.621
AT1G29310,AT1G78720,0.803
AT1G29310,AT2G34250,0.85
AT1G29310,AT3G20920,0.998
AT1G29310,ATERDJ2B,0.998
AT1G78720,AT2G34250,0.803
AT1G78720,AT3G20920,0.988
AT1G78720,ATERDJ2B,0.995
AT2G34250,AT3G20920,0.989
AT2G34250,ATERDJ2B,0.998
AT3G20920,ATERDJ2B,0.999
HAP6,DGL1,0.999
AT3G54460,KAK,0.626
UBC28,AT3G54460,0.928
UBC28,KAK,0.961
PSBA,PSBB,0.999
PSBA,PSBC,0.999
PSBA,PSBD,0.999
PSBA,PSBE,0.999
PSBA,PSBF,0.999
PSBA,PSBI,0.999
PSBA,PSBK,0.99
PSBA,PSBL,0.999
PSBA,YCF9,0.999
PSBC,PSBB,0.999
PSBC,PSBE,0.999
PSBC,PSBF,0.999
PSBC,PSBL,0.999
PSBC,YCF9,0.999
PSBD,PSBB,0.999
PSBD,PSBC,0.999
PSBD,PSBE,0.999
PSBD,PSBF,0.999
PSBD,PSBL,0.999
PSBD,YCF9,0.999
PSBE,PSBB,0.999
PSBF,PSBB,0.999
PSBF,PSBE,0.999
PSBI,PSBB,0.999
PSBI,PSBC,0.999
PSBI,PSBD,0.999
PSBI,PSBE,0.999
PSBI,PSBF,0.999
PSBI,PSBL,0.999
PSBI,YCF9,0.999
PSBK,PSBB,0.967
PSBK,PSBC,0.987
PSBK,PSBD,0.968
PSBK,PSBE,0.99
PSBK,PSBF,0.999
PSBK,PSBI,0.999
PSBK,PSBL,0.999
PSBK,YCF9,0.999
PSBL,PSBB,0.999
PSBL,PSBE,0.999
PSBL,PSBF,0.999
YCF9,PSBB,0.999
YCF9,PSBE,0.999
YCF9,PSBF,0.999
YCF9,PSBL,0.998
ERS2,EIN2,0.976
ERS2,ETP2,0.59
ETP2,EIN2,0.845
AGB1,HY5,0.512
HY5,At5g23720,0.446
HYH,At5g23720,0.446
HYH,HY5,0.98
IBR5,HY5,0.446
IBR5,HYH,0.446
DECOY,FSD2,0.958
AT2G36930,RID3,0.979
SEC6,SEC10,0.999
HMG1,HMG2,0.807
HMG1,MK,0.999
HMG2,MK,0.998
DDB1A,DCAF1,0.997
DDB1A,DDB1B,0.802
DDB1B,DCAF1,0.978
AT2G25790,MAKR5,0.683
BAM3,AT5G56040,0.699
BAM3,MAKR5,0.93
BAM3,MAKR6,0.541
CVP2,BAM3,0.818
CVP2,MAKR5,0.872
MAKR5,AT5G56040,0.639
MAKR5,MAKR6,0.637
ALB1,CHLI1,0.998
ALB1,CHLI2,0.996
ALB1,PCB2,0.96
ALB1,PORA,0.869
CHLI1,CHLI2,0.984
CHLI1,PCB2,0.954
CHLI1,PORA,0.763
CHLI2,PORA,0.645
PCB2,CHLI2,0.95
PCB2,PORA,0.987
AAC1,AT3G27240,0.961
AT3G27240,ER-ANT1,0.952
MPPBETA,AAC1,0.925
MPPBETA,AT3G27240,0.999
MPPBETA,ER-ANT1,0.9
LSM2,LSM1B,0.998
UCH2,RPN13,0.992
ELO1,ABO1,0.999
ELO1,ELP6,0.999
ELP2,ABO1,0.999
ELP2,ELO1,0.999
ELP2,ELP6,0.989
ELP2,MCM5,0.811
ELP6,ABO1,0.99
MCM5,ABO1,0.929
MCM5,ELO1,0.743
MCM5,ELP6,0.697
ABH1,AT3G08943,0.924
ABH1,AT3G08947,0.924
ABH1,AT5G53480,0.924
AT2G46520,AT3G08943,0.979
AT2G46520,AT3G08947,0.979
AT2G46520,AT5G53480,0.98
AT3G08943,AT3G08947,0.813
AT3G08943,AT5G53480,0.8
AT3G08947,AT5G53480,0.8
PMI1,PMI2,0.424
PMI1,WEB1,0.821
PMI2,WEB1,0.889
WEB1,PHR2,0.699
ATARCA,PFL,0.99
emb2386,ATARCA,0.999
emb2386,PFL,0.992
ABCG36,CAM7,0.782
CAM7,At5g57110,0.961
CAM7,HY5,0.871
CAM7,TPC1,0.708
CNBT1,CAM7,0.703
CNBT1,TPC1,0.401
CNGC14,CAM7,0.635
CNGC14,TPC1,0.472
CRK1,CAM7,0.645
CRK1,TPC1,0.715
TPC1,At5g57110,0.769
TPC1,HY5,0.584
AHG2,LOH1,0.8
SULTR2;1,APS4,0.942
AL6,SET27,0.802
EMB2217,PIP5K3,0.616
PGP10,EMB2217,0.624
PGP10,PIP5K3,0.444
ENODL9,RTM2,0.676
AGO1,RDR6,0.976
UBC14,OS9,0.951
AT3G27240,COX15,0.948
CARA,PYRD,0.991
CARB,CARA,0.999
CARB,OTC,0.999
CARB,PYRB,0.999
CARB,PYRD,0.995
OTC,CARA,0.999
OTC,PYRB,0.988
PYRB,CARA,0.999
PYRB,PYRD,0.996
NRPB6B,NRPB9B,0.999
NRPB6B,RPB5D,0.999
RPB5D,NRPB9B,0.999
PP2A,TAP46,0.998
PP2AA3,PP2A,0.998
PP2AA3,TAP46,0.835
MAC3A,MAC3B,0.813
MAC3A,MOS4,0.999
MAC3A,PRL1,0.997
MAC3A,emb1507,0.999
MAC3B,MOS4,0.999
MAC3B,PRL1,0.998
MOS4,PRL1,0.999
emb1507,MAC3B,0.999
emb1507,MOS4,0.999
emb1507,PRL1,0.999
NRPA2,TRZ3,0.947
TRZ3,CPZ,0.992
CAT5,DAR2,0.641
CAT5,TRM24,0.543
DAR2,TRM24,0.568
emb2386,emb1441,0.684
COP9,COP13,0.999
COP9,CSN6B,0.999
CSN6B,COP13,0.993
PYL13,PYL10,0.537
PYL13,PYL11,0.507
PYL13,PYL12,0.529
PYL3,PYL13,0.536
ARP4,GAS41,0.995
TAF4,GAS41,0.999
AT1G21580,AT3G27700,0.978
AT1G21580,ECT4,0.649
ECT4,AT3G27700,0.7
CPZ,TRZ4,0.993
AT1G26170,HTA9,0.817
AT1G26170,NAP1;3,0.945
HTA9,NAP1;3,0.879
cpHsc70-1,cpHsc70-2,0.473
IAR1,MTP11,0.883
IAR1,NRAMP3,0.75
IAR1,ZAT,0.886
MTP11,ZAT,0.971
NRAMP3,MTP11,0.72
NRAMP3,ZAT,0.875
Phox3,HSP81-3,0.853
XI-I,Phox3,0.742
ENOC,AT3G52990,0.995
GSA2,GSA1,0.893
GSA2,HEMG2,0.689
HEME2,GSA1,0.978
HEME2,GSA2,0.989
HEME2,HEMG2,0.992
HEMG2,GSA1,0.702
AN,HD1,0.896
AN,SNL5,0.741
HAT3.1,HD1,0.984
SNL5,HAT3.1,0.77
SNL5,HD1,0.769
AT5G45540,DOG1,0.519
AXL,CUL1,0.837
AXL,ECR1,0.999
CUL1,ECR1,0.976
ARV2,ATERDJ2B,0.615
ARV2,PYRD,0.63
SE,ARV2,0.624
SE,ATERDJ2B,0.731
ASF1B,FAS2,0.999
TSL,ASF1B,0.994
TSL,FAS2,0.553
DEG2,CP31B,0.931
DEG2,DEG7,0.939
DWA2,DDB1A,0.946
AHG2,LOH1,0.8
AT5G26710,ERS,0.884
TOC64-III,AT5G26710,0.835
TOC64-III,ERS,0.925
PYRR,EMB2820,0.965
PYRR,PyrD,0.943
PyrD,EMB2820,0.965
IAR4,LTA2,0.998
IAR4,mtLPD2,0.981
mtLPD2,LTA2,0.995
RPL10B,PGY1,0.999
emb2386,PGY1,0.999
emb2386,RPL10B,0.996
AGB1,AGG3,0.982
AGG2,AGB1,0.999
AGG2,AGG3,0.976
AGG2,GG1,0.908
AGG2,XLG2,0.989
GG1,AGB1,0.999
GG1,AGG3,0.976
GG1,XLG2,0.989
GPA1,AGB1,0.999
GPA1,AGG2,0.997
GPA1,AGG3,0.968
GPA1,GG1,0.999
GPA1,TPC1,0.666
GPA1,XLG2,0.667
TPC1,AGB1,0.999
TPC1,XLG2,0.666
XLG2,AGB1,0.999
XLG2,AGG3,0.97
XLG3,AGB1,0.999
XLG3,AGG2,0.984
XLG3,AGG3,0.959
XLG3,GG1,0.976
XLG3,GPA1,0.627
XLG3,TPC1,0.666
XLG3,XLG2,0.594
AT1G61670,Cand7,0.756
Cand2,Cand7,0.958
Cand2,HHP1,0.696
Cand2,HHP2,0.724
Cand7,Cand8,0.92
Cand7,HHP1,0.682
HHP1,Cand8,0.751
HHP2,Cand7,0.698
HHP2,Cand8,0.804
emb2386,RPL18,0.999
KAK,ATXR6,0.898
FKBP15-1,ROC4,0.8
CKL13,RID2,0.638
CRY2,CKL13,0.615
NUP155,SEH1H,0.996
APC6,APC7,0.999
APC6,APC8,0.999
APC6,CDC27a,0.997
APC7,APC8,0.999
APC7,CDC27a,0.999
CDC27a,APC8,0.997
EBS1,OS9,0.988
NF-YC10,NPG1,0.907
LSM2,RUXF,0.999
LSM2,SNRNP-G,0.999
LSM2,SmD3,0.999
SNRNP-G,RUXF,0.999
SmD3,RUXF,0.999
SmD3,SNRNP-G,0.999
NUP155,HOS15,0.53
RHON1,FLN2,0.773
VPS26B,SNX2a,0.984
VPS35B,SNX2a,0.992
VPS35B,VPS26B,0.999
AGO1,RDR2,0.93
AGO1,RDR6,0.976
RDR6,RDR2,0.631
ARP4,ACT8,0.905
EIF4A-2,TRIP-1,0.953
EIF4A-2,eIFiso4G2,0.981
eIFiso4G2,TRIP-1,0.807
EMB2762,PCN,0.998
EMB2762,TOZ,0.999
NOP56,EMB2762,0.999
NOP56,PCN,0.998
NOP56,TOZ,0.999
PCN,TOZ,0.999
RAE1,AT4G37130,0.789
DER1,OS9,0.989
EBS5,DER1,0.962
EBS5,OS9,0.999
ASN1,ASN3,0.805
ARP4,LFR,0.54
CP5,LFR,0.544
AT3G23145,AT5G26710,0.999
AT3G23145,emb1027,0.982
AT4G10320,AT5G26710,0.999
AT4G10320,emb1027,0.993
ATKRS-1,AT3G23145,0.991
ATKRS-1,AT4G10320,0.997
ATKRS-1,AT5G26710,0.999
ATKRS-1,emb1027,0.995
OVA9,AT3G23145,0.997
OVA9,AT4G10320,0.999
OVA9,AT5G26710,0.997
OVA9,ATKRS-1,0.991
OVA9,emb1027,0.995
emb1027,AT5G26710,0.999
IMPA-6,PIP5K2,0.859
PIP5K2,IMPA-2,0.835
PIP5K2,PLC2,0.916
PP2CA,ABI1,0.416
EBS1,PSL4,0.859
EBS1,RSW3,0.963
PSL4,RSW3,0.999
ATOBGM,TRM6,0.519
ATOBGM,TRM8,0.55
FASS,TRM8,0.596
PP2A,FASS,0.969
TRM6,FASS,0.588
CRK36,ARCK1,0.804
CaMK1,ARCK1,0.833
CaMK1,CRK23,0.694
CaMK1,CRK36,0.861
IAR4,LPD1,0.976
IAR4,LTA2,0.998
IAR4,mtLPD2,0.981
LPD1,LTA2,0.998
LPD1,mtLPD2,0.843
mtLPD2,LTA2,0.995
TTN9,ACYB-2,0.721
NOF1,POP4,0.445
AT1G10730,AT1G60070,0.972
AT1G10730,GAMMA-ADR,0.996
AT1G10730,SWEETIE,0.881
AT1G60070,HAP13,0.976
AT1G60070,SWEETIE,0.948
GAMMA-ADR,AT1G60070,0.591
GAMMA-ADR,HAP13,0.994
GAMMA-ADR,SWEETIE,0.947
HAP13,SWEETIE,0.881
SWEETIE,AT3G03700,0.966
ERL2,ERL1,0.95
MUTE,ERL1,0.889
MUTE,ERL2,0.842
TE1,ERL1,0.99
TE1,ERL2,0.951
YDA,ERL1,0.904
YDA,ERL2,0.903
YDA,MUTE,0.849
YDA,TE1,0.853
RHA3A,BAK1,0.464
ATARCA,LOS1,0.998
GAD2,ALDH12A1,0.98
GAD2,GDH2,0.874
GAD2,GLT1,0.915
GAD2,P5CS1,0.863
GDH2,ALDH12A1,0.955
GDH2,GLT1,0.996
GLT1,ALDH12A1,0.908
P5CS1,ALDH12A1,0.997
P5CS1,GDH2,0.984
P5CS1,GLT1,0.966
CPN10,CPN60B,0.954
CPN10,Cpn60beta2,0.945
CPN10,HSP60,0.992
CPN10,TIM8,0.959
CPN60B,Cpn60beta2,0.685
Cpn60beta2,HSP60,0.731
HSP60,TIM8,0.636
AT4G17680,ROXY2,0.787
HEN2,RRP41,0.998
ABCB1,FKBP15-2,0.809
ABCB19,FKBP15-2,0.786
AT2G46520,AT4G00910,0.543
AT2G46520,EID1,0.406
AT2G46520,MEE55,0.589
AT2G46520,NINJA,0.543
AT4G00910,EID1,0.637
AT4G00910,MEE55,0.594
AT4G00910,NINJA,0.753
EID1,MEE55,0.544
EID1,NINJA,0.637
MEE55,NBR1,0.603
MEE55,NINJA,0.594
PFD1,PFD3,0.999
PFD1,PFD5,0.999
PFD5,PFD3,0.999
ARP6,APT5,0.596
ATL3,APT5,0.573
ATL3,ARP6,0.595
AT5G42910,SNRK2.3,0.608
GBF4,AT5G42910,0.725
GBF4,OST1,0.655
GBF4,SNRK2.2,0.615
GBF4,SNRK2.3,0.615
OST1,AT5G42910,0.6
OST1,SNRK2.3,0.612
SNRK2.2,AT5G42910,0.608
SNRK2.2,OST1,0.614
AT3G23145,AT5G26710,0.999
AT3G23145,emb1027,0.982
AT4G10320,AT5G26710,0.999
AT4G10320,emb1027,0.993
emb1027,AT5G26710,0.999
HEN2,PPAN,0.872
NOF1,HEN2,0.971
NOF1,PPAN,0.918
CLO4,NOXY2,0.597
NOXY2,ATPXG2,0.616
NOXY2,RPS28,0.51
TOM6,CLO4,0.681
TOM6,NOXY2,0.624
TOM6,RPS28,0.865
AT5G14030,DGL1,0.917
ARK2,KLCR1,0.9
ARK2,TUA2,0.76
TUA2,KLCR1,0.461
ABCC12,PERK14,0.474
COP1,PERK14,0.501
PERK14,ABCB29,0.584
PERK14,SNRK2.3,0.474
ARP4,GAS41,0.995
ARP4,HTA9,0.97
HTA9,GAS41,0.952
CS26,FLN1,0.841
CS26,PDE312,0.709
FLN2,CS26,0.963
FLN2,FLN1,0.942
FLN2,PDE312,0.956
PDE312,FLN1,0.989
PRIN2,CS26,0.94
PRIN2,FLN1,0.916
PRIN2,FLN2,0.997
PRIN2,PDE312,0.938
AT1G62310,PRAF1,0.637
PSBA,PSBB,0.999
PSBA,PSBC,0.999
PSBA,PSBD,0.999
PSBA,PSBE,0.999
PSBA,PSBF,0.999
PSBA,PSBH,0.998
PSBA,PSBI,0.999
PSBA,PSBK,0.99
PSBA,PSBL,0.999
PSBB,PSBH,0.999
PSBC,PSBB,0.999
PSBC,PSBE,0.999
PSBC,PSBF,0.999
PSBC,PSBH,0.999
PSBC,PSBL,0.999
PSBD,PSBB,0.999
PSBD,PSBC,0.999
PSBD,PSBE,0.999
PSBD,PSBF,0.999
PSBD,PSBH,0.999
PSBD,PSBL,0.999
PSBE,PSBB,0.999
PSBE,PSBH,0.999
PSBF,PSBB,0.999
PSBF,PSBE,0.999
PSBF,PSBH,0.999
PSBI,PSBB,0.999
PSBI,PSBC,0.999
PSBI,PSBD,0.999
PSBI,PSBE,0.999
PSBI,PSBF,0.999
PSBI,PSBH,0.998
PSBI,PSBL,0.999
PSBK,PSBB,0.967
PSBK,PSBC,0.987
PSBK,PSBD,0.968
PSBK,PSBE,0.99
PSBK,PSBF,0.999
PSBK,PSBH,0.984
PSBK,PSBI,0.999
PSBK,PSBL,0.999
PSBL,PSBB,0.999
PSBL,PSBE,0.999
PSBL,PSBF,0.999
PSBL,PSBH,0.999
ABCD1,PEX5,0.995
ACX1,ABCD1,0.929
ACX1,PEX5,0.964
PKT3,ABCD1,0.803
PKT3,ACX1,0.997
PKT3,PEX5,0.975
iPGAM1,GAPC1,0.781
IRX9,CESA4,0.953
IRX9,GUT1,0.962
APY1,ADSS,0.939
AT3G23145,AT5G26710,0.999
AT3G23145,EMB2247,0.991
AT3G23145,EMB2369,0.993
AT3G23145,ERS,0.863
AT3G23145,emb1027,0.982
AT4G10320,AT5G26710,0.999
AT4G10320,EMB2247,0.987
AT4G10320,ERS,0.893
AT4G10320,OVA2,0.874
AT4G10320,emb1027,0.993
AT5G26710,ERS,0.884
AT5G26710,OVA2,0.924
EMB2247,AT5G26710,0.957
EMB2247,ERS,0.782
EMB2247,OVA2,0.949
EMB2369,AT4G10320,0.985
EMB2369,AT5G26710,0.967
EMB2369,EMB2247,0.978
EMB2369,ERS,0.976
EMB2369,OVA2,0.995
EMB2369,emb1027,0.981
OVA2,ERS,0.974
emb1027,AT5G26710,0.999
emb1027,EMB2247,0.857
emb1027,ERS,0.903
emb1027,OVA2,0.945
DDB1A,DDB1B,0.802
DDB1A,DDB2,0.999
DDB1A,DET1,0.998
DDB1B,DDB2,0.996
DET1,DDB1B,0.994
DET1,DDB2,0.973
ENOC,PFK6,0.938
ACC2,EMB3147,0.998
ACC2,HCS1,0.986
ABCE1,TBL12,0.746
AT2G25670,ABCE1,0.637
AT2G25670,TBL12,0.9
PSRP3/1,ABCE1,0.699
PSRP3/1,AT2G25670,0.875
PSRP3/1,TBL12,0.93
RPL24A,NACA3,0.927
ELO1,ABO1,0.999
ELO1,ELP6,0.999
ELP2,ABO1,0.999
ELP2,ELO1,0.999
ELP2,ELP6,0.989
ELP2,MCM5,0.811
ELP6,ABO1,0.99
MCM5,ABO1,0.929
MCM5,ELO1,0.743
MCM5,ELP6,0.697
